:START_ID(Entity),:END_ID(Entity),:TYPE,claim_id,predicate,refs:int[],status,evidence,level,species:string[],section,volume,synthesis:boolean,finding,finding_note,hypothesis,hypothesis_group,parameters
electric-magnetic-ultrasonic-and-optical-non-inv-1i8pl0q,four-distinct-physical-coupling-problems-0y1ncgx,COUPLES_VIA,C0001,couples_via,30,supported,consensus,biophysical,,v0-abstract,v0,false,,,,,
neuromodulation-as-an-electrical-magnetic-or-che-1ayhbo4,activity-of-neurons-and-glia-09yq0tf,MODULATES,C0002,modulates,1,supported,consensus,cellular,,v0-1-what-neuromodulation-is,v0,false,,,,,"{""source"":""2022 joint Neuromodulation Foundation, Institute of Neuromodulation and INS glossary"",""terms_defined"":""91"",""scope"":""implanted systems""}"
implanted-drug-pump-delivering-pharmaceutical-ag-0vjslba,nerve-activity-at-a-target-area-1aijmqk,MODULATES,C0003,modulates,3,supported,consensus,clinical,,v0-1-what-neuromodulation-is,v0,false,,,,,"{""source"":""INS public definition, accessed 2026-09-15"",""omissions"":""magnetic stimulation and glia not mentioned""}"
unreported-effective-stimulation-dose-1ecdvhs,implantable-electrical-therapies-for-chronic-pai-1caisa3,CONFOUNDS,C0004,confounds,2,supported,consensus,clinical,,v0-1-what-neuromodulation-is,v0,false,,,,,"{""classification_axes"":""intended treatment site, clinical application, waveform and dose"",""consequence"":""published studies cannot be replicated""}"
specific-rather-than-broad-definitions-of-transc-1j1mpoy,reproducing-protocols-and-comparing-safety-and-e-11lbup5,REQUIRED_FOR,C0005,required_for,4,supported,consensus,clinical,,v0-1-what-neuromodulation-is,v0,false,,,,,"{""techniques_named"":""tDCS, tACS, tPCS and newer variants"",""tradeoff"":""broad definitions leave room for new techniques""}"
endogenous-neuromodulatory-substances-reaching-n-1pv5wtf,intrinsic-firing-properties-and-effective-synapt-1ar6oju,MODULATES,C0006,modulates,5,supported,animal-interventional,cellular,invertebrate,v0-1-what-neuromodulation-is,v0,false,,,,,"{""preparation"":""small invertebrate circuits, mixed preparations""}"
modulatory-state-of-a-circuit-0in2v6r,which-functional-circuit-is-running-on-a-fixed-a-1lb1up7,GATES,C0007,gates,5,supported,animal-interventional,circuit,invertebrate,v0-1-what-neuromodulation-is,v0,false,,,,,
electrical-stimulation-of-the-peripheral-vagus-n-0uig3is,hepatic-tnf-synthesis-and-peak-serum-tnf-0irsc2x,DECREASES,C0008,decreases,148,supported,animal-interventional,molecular,rat,v0-1-what-neuromodulation-is,v0,false,,,,,"{""context"":""lethal endotoxaemia"",""identification"":""efferent vagal signalling named as a parasympathetic anti-inflammatory pathway""}"
electrical-or-pharmacological-drive-applied-to-t-1kqyknz,the-inflammatory-reflex-selectively-and-reversib-1rv3agp,MODULATES,C0009,modulates,149,supported,consensus,systemic,,v0-1-what-neuromodulation-is,v0,false,,,,,"{""basis"":""the loop is hard-wired, so it can be addressed by either means""}"
a-pharmacological-agent-given-by-any-route-1558u13,nerve-activity-as-a-peer-of-device-drives-under-1lu568k,MODULATES,C0010,modulates,1;3;149,inferred,inferred,systemic,,v0-1-what-neuromodulation-is,v0,true,,,,,"{""note"":""extends to drugs by any route a parity that none of the cited sources states explicitly""}"
rates-reporting-checklist-for-transcranial-elect-1bhce4c,reproducible-reporting-of-tes-protocols-0nvgyo1,REQUIRED_FOR,C0011,required_for,193,supported,consensus,clinical,,v0-1-what-neuromodulation-is,v0,false,,,,,"{""method"":""three-round Delphi study"",""experts"":""38"",""items"":""66 in five groups (participants, stimulator, electrodes, current, procedure)"",""essential_version"":""26 items""}"
an-exogenous-drive-0emg5e0,the-chain-drive-coupling-cellular-subcellular-mo-083s2rv,COUPLES_VIA,C0012,couples_via,24;199,inferred,inferred,systemic,,v0-2-levels-and-the-chain,v0,true,,,,,"{""assembly"":""from the brain-stimulation chain (induced field to local and network effects to behaviour) and the drug-development chain (exposure to binding to pharmacological activity)"",""note"":""no cited paper states the seven-step chain""}"
a-levels-of-organisation-scheme-running-from-mol-1k6da3s,an-explanation-of-perception-learning-and-consci-02lc9uz,REQUIRED_FOR,C0013,required_for,6,supported,consensus,systemic,,v0-2-levels-and-the-chain,v0,false,,,,,"{""method_requirement"":""large-scale recording together with computational models""}"
each-link-in-the-drive-to-outcome-chain-0goz76w,an-independent-measurement-or-model-at-that-leve-11192q9,REQUIRED_FOR,C0014,required_for,5;6;8;183,inferred,inferred,systemic,,v0-2-levels-and-the-chain,v0,true,,,,,
a-small-number-of-molecular-targets-shared-by-ch-1sbpro4,endogenous-sleep-and-arousal-circuitry-with-the-09me7al,MODULATES,C0015,modulates,183,supported,consensus,circuit,,v0-2-levels-and-the-chain,v0,false,,,,,"{""consequence"":""target and behaviour are separated by an existing physiological control circuit, not a new pathway""}"
combined-bottom-up-biophysical-and-top-down-netw-1fnug3o,an-explicit-link-from-microscopic-mechanisms-to-0rxbqyw,REQUIRED_FOR,C0016,required_for,8,supported,computational,circuit,,v0-2-levels-and-the-chain,v0,false,,,,,"{""status"":""a programme, not a finished bridge""}"
central-integration-in-the-afferent-central-effe-0gxdopx,how-strongly-the-efferent-cholinergic-limb-fires-1rod6st,GATES,C0017,gates,149,supported,consensus,circuit,,v0-2-levels-and-the-chain,v0,false,,,,,"{""framing"":""the nervous system senses inflammatory status and regulates it in real time""}"
the-three-pillars-exposure-at-the-target-site-ta-0vnxts1,an-adequate-test-of-a-drug-mechanism-in-a-phase-0t6s85g,REQUIRED_FOR,C0018,required_for,24,supported,human-observational,clinical,human,v0-2-levels-and-the-chain,v0,false,,,,,"{""programmes_analysed"":""44 Pfizer Phase II programmes"",""main_failure_reason"":""lack of efficacy"",""mechanism_test_unclear"":""43% of cases""}"
downstream-nmda-receptor-activation-1hiq8gl,antidepressant-like-behavioural-effect-of-ketami-1n540nq,REQUIRED_FOR,C0019,required_for,168,contested,animal-interventional,molecular,mouse,v0-2-levels-and-the-chain,v0,false,,,H-hnk-active-species-p3,H-hnk-active-species,"{""sex"":""male mice"",""ketamine_effective_dose"":""10 mg/kg"",""dose_response"":""inverted-U, ineffective at higher doses"",""blocking_antagonists"":""MK-801 and CPP"",""rival_accounts"":""opioid or GABAergic sites, or a different explanation of (2R,6R)-HNK""}"
early-changes-in-emotional-and-social-informatio-0nmqg2q,an-account-of-the-delay-before-clinical-benefit-1tadii2,REQUIRED_FOR,C0020,required_for,187,supported,consensus,clinical,human,v0-2-levels-and-the-chain,v0,false,,,,,"{""problem"":""a neurotransmitter-level account cannot explain the delay"",""placement"":""between receptor occupancy and symptom change""}"
nominal-stimulus-device-parameters-or-administer-0tzzmvv,effective-stimulus-the-field-at-the-neuron-the-p-027l6sd,CORRELATES_WITH,C0021,correlates_with,24;199,inferred,inferred,biophysical,,v0-2-levels-and-the-chain,v0,true,,,,,"{""practice"":""studies often report the first and infer the second""}"
transcranial-electric-and-magnetic-stimulation-0mukmy5,the-electric-field-injected-into-the-body-tes-or-143e4cl,COUPLES_VIA,C0022,couples_via,9,supported,consensus,biophysical,,v0-3-dose,v0,false,,,,,"{""premise"":""biological effects are mediated by the electric field""}"
device-side-dose-electrode-or-coil-configuration-0gn1ykj,the-electric-field-produced-in-tissue-0wnalwr,REQUIRED_FOR,C0023,required_for,9,supported,consensus,biophysical,,v0-3-dose,v0,false,,,,,"{""separation"":""the dose the operator controls, the field that results in tissue, and the physiological effect are kept apart"",""implication"":""2 mA or 120% of motor threshold is one entry in a parameter set, not the dose"",""reporting_principle"":""reproducibility""}"
transcranial-magnetic-stimulation-07yxleb,modelled-cortical-e-field-as-a-proposed-dosing-m-0sbocsy,MEASURED_BY,C0024,measured_by,15,supported,consensus,biophysical,human,v0-3-dose,v0,false,,,,,"{""proposal"":""calibrate TMS intensity to the modelled cortical E-field instead of the motor threshold"",""open_issues"":""simulation, target definition and cross-region thresholds"",""status"":""motor-threshold dosing remains the clinical norm""}"
vagus-nerve-stimulation-current-amplitude-and-pu-00ywrb1,locus-coeruleus-firing-rate-0stat3z,INCREASES,C0025,increases,140,supported,animal-interventional,cellular,rat,v0-3-dose,v0,false,,,,,"{""design"":""grid of VNS settings"",""effect"":""higher current and longer pulse widths increased firing rate""}"
vagus-nerve-stimulation-pulse-frequency-06xmyqm,timing-of-the-phasic-locus-coeruleus-burst-but-n-02nr1ey,MODULATES,C0026,modulates,140,supported,animal-interventional,cellular,rat,v0-3-dose,v0,false,,,,,"{""result"":""frequency shifted when the burst occurred; total activity unchanged""}"
pulse-locked-activity-in-the-trigeminal-control-1uxb16s,vagus-nerve-stimulation-0vbb301,CONFOUNDS,C0027,confounds,140,supported,animal-interventional,circuit,rat,v0-3-dose,v0,false,,,,,"{""threshold_current"":""1.2 mA""}"
pulsed-transcutaneous-auricular-vagus-nerve-stim-03dvj0n,pupil-diameter-01l3jgq,INCREASES,C0028,increases,146,contested,human-interventional,systemic,human,v0-3-dose,v0,false,,,H-tavns-engagement-p2,H-tavns-engagement,"{""analysis"":""living Bayesian meta-analysis of 18 studies"",""N"":""771"",""hedges_g"":""0.36"",""BF10"":""50.8"",""strength"":""strong evidence for an effect""}"
continuous-transcutaneous-auricular-vagus-nerve-1f9kcxj,pupil-diameter-null-result-0mr8fsz,MODULATES,C0029,modulates,146,contested,human-interventional,systemic,human,v0-3-dose,v0,false,,,H-tavns-engagement-p1,H-tavns-engagement,"{""hedges_g"":""0.002"",""BF01"":""21.9"",""strength"":""strong evidence for the null""}"
beta-band-local-field-potential-gated-subthalami-0enkhk3,blinded-motor-score-improvement-in-advanced-park-1k088ic,INCREASES,C0030,increases,135,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,"{""n"":""8 patients"",""motor_improvement"":""50%"",""advantage_over_continuous"":""about 27% better"",""stimulation_time_reduction"":""56%""}"
prefrontal-tms-or-transcranial-direct-current-st-1yh07qr,cortisol-response-to-a-laboratory-stressor-1chenc7,DECREASES,C0031,decreases,159,supported,human-interventional,systemic,human,v0-3-dose,v0,false,,,,,"{""analysis"":""meta-analysis of 16 randomised trials"",""population"":""healthy adults""}"
individualised-finite-element-e-field-modelling-0yoybs6,routine-tms-field-dosimetry-02d9d97,REQUIRED_FOR,C0032,required_for,10,supported,computational,biophysical,,v0-3-dose,v0,false,,,,,"{""barriers"":""model uncertainty; linking the calculated field to physiology; usability""}"
accurate-tissue-geometry-and-a-sufficiently-accu-1npkz22,reliable-calculated-electric-field-15nyicw,REQUIRED_FOR,C0033,required_for,11,supported,computational,biophysical,,v0-3-dose,v0,false,,,,,"{""validation"":""implementation checked against analytical solutions""}"
uncorrected-mri-artefacts-in-head-segmentation-0x0p865,local-modelled-electric-field-1gsof1p,CONFOUNDS,C0034,confounds,12,supported,computational,biophysical,,v0-3-dose,v0,false,,,,,"{""local_e_field_difference"":""above 30%"",""tissue_classes"":""15 (CHARM)"",""comparison"":""extra tissue classes improved estimates over five-tissue models""}"
roast-open-source-tes-modelling-pipeline-1h6mp45,other-modelling-software-and-human-intracranial-0slwfip,CORRELATES_WITH,C0035,correlates_with,13,supported,computational,biophysical,human,v0-3-dose,v0,false,,,,,"{""agreement"":""reported differences were small""}"
individual-finite-element-head-models-1gagvd8,intracranially-measured-cortical-and-depth-elect-0euycx7,CORRELATES_WITH,C0036,correlates_with,40,supported,human-interventional,biophysical,human,v0-3-dose,v0,false,,,,,"{""n"":""10 epilepsy patients with intracranial electrodes"",""r_cortical"":""0.86"",""r_depth"":""0.88"",""improvement"":""calibrating tissue conductivities""}"
transcranial-electrical-stimulation-0grzmgf,peak-electric-field-of-about-0-5-mv-mm-in-superf-0ucr6s9,COUPLES_VIA,C0037,couples_via,211,supported,human-interventional,biophysical,human;macaque,v0-3-dose,v0,false,,,,,"{""peak_field"":""about 0.5 mV/mm"",""method"":""direct intracranial recordings in nonhuman primates and epilepsy patients"",""frequency_and_region_dependence"":""little change""}"
species-difference-in-modelled-tes-field-across-0xcnk2r,transfer-of-an-animal-tes-dose-to-humans-17125tx,CONFOUNDS,C0038,confounds,212,supported,computational,biophysical,mouse;macaque;human,v0-3-dose,v0,false,,,,,"{""predicted_field_ratio"":""up to about 100-fold"",""requirement"":""animal doses do not transfer unless the fields are matched""}"
choice-of-e-field-outcome-measure-1s8b743,modelled-e-field-value-reported-at-a-target-0mk2y7o,CONFOUNDS,C0039,confounds,14,supported,computational,biophysical,human,v0-3-dose,v0,false,,,,,"{""studies_surveyed"":""202 tES and TMS studies"",""distinct_measures"":""308"",""volume_based"":""197"",""surface_based"":""111"",""models_run"":""1,000"",""participants"":""100"",""montages_and_coils"":""10"",""roi_vs_percentile_overlap"":""about 6% on average within a person"",""finding"":""measures gave different values, sampled different regions and did not always correlate strongly""}"
an-agreed-e-field-feature-and-extraction-rule-wi-1x6stue,an-e-field-dose-value-comparable-with-any-other-0e59few,REQUIRED_FOR,C0040,required_for,11;12;14,inferred,inferred,biophysical,,v0-3-dose,v0,true,,,,,
charge-density-and-charge-per-phase-acting-toget-0fkjltj,neural-injury-at-the-electrode-tissue-interface-0kdd2jt,INCREASES,C0041,increases,16,supported,animal-interventional,cellular,cat,v0-3-dose,v0,false,,,,,"{""preparation"":""cat cerebral cortex, platinum surface electrodes"",""electrode_area"":""0.002-0.5 cm2"",""duration"":""7 h"",""waveform"":""charge-balanced pulse pairs, 400 us per phase at 50 Hz"",""charge_density_range"":""about 10-800 uC/cm2"",""charge_per_phase_range"":""0.05-5 uC/phase"",""key_result"":""neither variable alone predicted damage""}"
the-shannon-log-linear-boundary-between-charge-p-1qgfk5w,safe-macroelectrode-stimulation-design-1gw6rzk,REQUIRED_FOR,C0042,required_for,17,contested,computational,cellular,cat,v0-3-dose,v0,false,,,H-charge-safety-p1,H-charge-safety,"{""basis"":""single model fitted to earlier tissue-damage data including McCreery's"",""use"":""widely used design rule for macroelectrode stimulation""}"
frequency-duty-cycle-current-density-and-electro-08x8ucl,a-valid-charge-injection-safety-limit-for-curren-0zseuvm,REQUIRED_FOR,C0043,required_for,16;18,contested,consensus,cellular,,v0-3-dose,v0,false,,,H-charge-safety-p2,H-charge-safety,"{""scope_objection"":""best-known source dataset was cat cortex, platinum electrodes and a single pulse regime"",""call"":""revised thresholds and new data""}"
microelectrode-geometry-0cso1oj,tissue-damage-at-a-given-charge-density-073nzbm,DECREASES,C0044,decreases,18,contested,consensus,cellular,,v0-3-dose,v0,false,,,H-charge-safety-p2,H-charge-safety,"{""observation"":""microelectrodes can deliver higher charge densities without damage""}"
the-full-ect-stimulus-parameter-set-pulse-amplit-0sdb47r,neurobiological-consequences-of-electroconvulsiv-1uc3uyh,MODULATES,C0045,modulates,261,supported,consensus,clinical,human,v0-3-dose,v0,false,,,,,"{""rejected_units"":""total charge and energy as inadequate summaries"",""conventional_units"":""total charge, energy and multiples of the seizure threshold"",""recommendation"":""devices should expose and display every parameter""}"
shorter-pulse-width-with-a-raised-pulse-count-0ob8zu5,ect-adverse-effects-with-efficacy-retained-0j3vd8t,DECREASES,C0046,decreases,261,supported,consensus,clinical,human,v0-3-dose,v0,false,,,,,
ultrabrief-right-unilateral-electroconvulsive-th-0ix5350,remission-in-depression-0k5wltb,INCREASES,C0047,increases,260,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,"{""design"":""randomised trial crossing electrode placement with pulse width"",""n"":""90 depressed patients"",""pulse_widths"":""ultrabrief 0.3 ms versus conventional 1.5 ms"",""remission_ultrabrief_right_unilateral"":""73%"",""remission_ultrabrief_bilateral"":""35%""}"
ultrabrief-right-unilateral-electroconvulsive-th-0ix5350,cognitive-side-effects-1wswxog,DECREASES,C0048,decreases,260,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,"{""extent"":""mildest on virtually every primary measure"",""reading"":""efficacy and cognitive burden depended jointly on where the current entered and how long each pulse lasted, not on delivered charge alone""}"
train-frequency-of-electroconvulsive-therapy-and-1o8vj7r,seizure-threshold-expressed-in-pulses-charge-and-0agtil8,MODULATES,C0049,modulates,226,supported,animal-interventional,systemic,macaque,v0-3-dose,v0,false,,,,,"{""n"":""4 rhesus macaques"",""ect_range"":""5-240 pulses per second, 230-565 mA"",""mst_range"":""5-100 pulses per second, 66-86% of maximum stimulator output"",""charge_minimising_frequency"":""near 16 pulses per second"",""near_equal_thresholds"":""10 and 25 pulses per second"",""low_frequency_tradeoff"":""more powerful seizures but more pulses in total"",""cross_modality"":""relationship comparable for electrical and magnetic modes"",""note"":""clinical ECT and MST frequencies sit well above this optimum""}"
magnetic-seizure-therapy-coils-1ay4536,an-electric-field-confined-largely-to-superficia-1ig36sr,COUPLES_VIA,C0050,couples_via,225,supported,computational,biophysical,,v0-3-dose,v0,false,,,,,"{""comparison"":""four ECT electrode configurations against three MST coils"",""method"":""finite-element simulation""}"
field-focality-of-magnetic-seizure-therapy-11kztj5,cognitive-side-effects-of-magnetic-seizure-thera-0fzg3fr,DECREASES,C0051,decreases,225,supported,computational,clinical,,v0-3-dose,v0,false,,,,,"{""status"":""proposed by the authors as the plausible basis; the simulation itself does not test it""}"
itrusst-reporting-consensus-for-low-intensity-tr-0sgkvsj,complete-reporting-of-transcranial-ultrasound-do-0ahqblf,REQUIRED_FOR,C0052,required_for,20,supported,consensus,clinical,,v0-3-dose,v0,false,,,,,"{""domains"":""transducer and drive system; drive settings; free-field acoustic parameters; pulse timing; in situ estimates of brain exposure; intensity parameters"",""separation"":""free-field output distinguished from estimated in situ brain exposure"",""status"":""expert consensus""}"
skull-density-ratio-1h1wsjx,peak-achieved-target-temperature-in-mr-guided-fo-19ru81r,CORRELATES_WITH,C0053,correlates_with,87,supported,human-observational,biophysical,human,v0-3-dose,v0,false,,,,,"{""n"":""25 patients"",""skull_density_ratio"":""positive correlation, p = 0.009"",""skull_volume"":""negative correlation, p = 0.023""}"
low-intensity-transcranial-ultrasound-at-a-mecha-1y9uvhc,mechanical-effect-risk-classed-as-non-significan-12orvn8,DECREASES,C0054,decreases,19,supported,consensus,biophysical,,v0-3-dose,v0,false,,,,,"{""mi_limit"":""1.9"",""status"":""expert consensus opinion, explicitly not a safety or regulatory limit"",""gap"":""more data needed to locate the threshold for significant risk""}"
