family,invasiveness,drive_physically,proposed_primary_coupling,named_rival,dose_quantities_reported,resolution_reported,dominant_evidence_base,what_is_missing,ref
"DBS, open loop",Implanted intracranial macroelectrode; standard care [31],"Charge-balanced current pulses across an electrode–tissue interface, Faradaic and non-Faradaic charge transfer [63]","Axonal excitation; driving term is the second spatial derivative of extracellular potential along the fibre (computational) [33]; axons before somata, polarity- and orientation-dependent [34]","Informational lesion: high-frequency stimulation makes output regular and variance-free, so the nucleus fires but stops transmitting information (computational) [133]","Amplitude, pulse width, frequency, train timing; safety bounded jointly by charge density and charge per phase, ~10–800 µC/cm² and 0.05–5 µC/phase, cat cortex [16], fitted as a log-linear limit [17]; effective dose often omitted [2]","Effective spatial unit is the connected fibre set: structural and functional connectivity independently predicted motor gain in 51 patients and replicated in a second cohort [132]; chronaxie ~50–100 µs for central myelinated axons, 200–700 µs in grey matter [34]","Human clinical cohorts [132]; cat cortex damage data [16]; computational axon models [33,133]","Routine effective-dose reporting [2]; frequency, duty cycle, current density and electrode size in the safety rule [18]; adjudication of excitation versus informational lesion [133]",2;16;17;18;31;33;34;63;132;133
Adaptive (closed-loop) DBS,"Implanted, same hardware with sensing [135]","Same pulses, delivered only while a subthalamic beta-band local field potential burst exceeds threshold [135]",As open-loop DBS [33]; the biomarker gates delivery rather than altering coupling [135],"Not established in this corpus; random intermittent stimulation did not match adaptive stimulation, so timing rather than intermittency carried the benefit [135]","Gating threshold plus the underlying pulse parameters; blinded motor scores improved 50%, about 27% better than continuous stimulation, with total stimulation time down 56% [135]",Temporal resolution set by the burst detector; spatial as open-loop DBS [135],"Human, 8 patients with advanced Parkinson's disease, within-subject blinded comparison [135]","What ""dose"" denotes when delivery is state-gated [135]; long-term controlled trials, not established in this corpus",33;135
ECT,"Transcranial drive that deliberately induces a generalised seizure, with cognitive adverse effects as its limiting cost [263]","Charge-balanced current pulse trains through scalp electrodes, with placement, pulse amplitude, shape and width, and train frequency, directionality, polarity and duration as separate physical variables [261]","Contested at the level of the drive itself: the antidepressant action is attributed to the induced seizure, to the electrical stimulation, or to their interaction, and the mechanism review that poses the question leaves it open [263]","The seizure account against the direct-field account [263]; simulation puts ECT's suprathreshold volume well above that of magnetic seizure therapy, so comparable efficacy from a much more focal field favours the seizure [225,227]","Placement and pulse width are the decisive axes: ultrabrief 0.3 ms right unilateral gave 73% remission against 35% for ultrabrief bilateral in a 2 × 2 randomised design in 90 patients, so efficacy does not follow delivered charge [260]; total charge and energy are argued to be the wrong abstraction [261]; in macaque, seizure threshold was lowest near 16 pulses per second across 5–240 pulses per second and 230–565 mA [226]; three sessions weekly for three weeks [170], median six sessions to remission [171]","Larger suprathreshold brain volume than MST in finite-element simulation of four ECT montages against three MST coils [225]; seizure induction immediate, course over weeks [260]","Human: meta-analysis in which real ECT beat simulated (sham) ECT and pharmacotherapy, with bilateral placement and higher dose better than unilateral and lower dose on efficacy [262]; randomised parameter trial, n = 90 [260]; two open-label head-to-heads against intravenous ketamine, response 41.2% versus 55.4% [170] and remission 63% versus 46% [171]; macaque threshold mapping [226]",Whether the seizure or the field carries the effect [263]; a dosing abstraction better than charge or multiples of seizure threshold [261]; clinical frequencies sit far above the charge-minimising optimum measured in macaque [226],170;171;225;226;227;260;261;262;263
Magnetic seizure therapy,"Transcranial magnetic drive that deliberately induces a generalised seizure, with fewer cognitive adverse effects than ECT in a blinded head-to-head [227]","High-intensity, high-frequency magnetic pulse trains inducing an eddy current confined largely to superficial cortex [225]","Seizure induction from a focal induced field, which reaches a smaller suprathreshold brain volume than any ECT montage at comparable clinical effect [225,227]","As for ECT, the seizure against the field: comparable efficacy from a much more focal field is the main argument for the seizure account [227,263]","Coil design, train frequency and stimulator output: in macaque, thresholds were mapped across 5–100 pulses per second at 66–86% of maximum stimulator output, with the fewest pulses needed at mid-range frequencies [226]; field magnitude and suprathreshold volume from simulation [225]","Field confined much more to superficial cortex than four ECT electrode configurations, in a finite-element comparison [225]; MST required more treatment sessions than ECT [227]","Human: one double-blind randomised trial at three hospitals in 73 adults — response 51.4% for MST against 42.1% for ultrabrief right unilateral ECT, sustained at six months, with significantly longer time to reorientation and fewer cognitive adverse effects [227]; macaque threshold mapping [226]; simulation [225]",Which train parameters set the human seizure threshold [226]; any trial beyond the single blinded head-to-head [227],225;226;227;263
Epidural cortical stimulation,"Implanted extradural electrode; not established in this corpus as a therapy [30,31]","Not established in this corpus; the corpus's epidural material is recordings, not therapeutic drive [58]","Indirect (I-wave) trans-synaptic activation of corticospinal neurons, with recruitment depending on current direction, measured as descending volleys [58]",,,Millisecond ordering of direct and indirect descending volleys [58]; no spatial figure,"Human epidural recordings, review [58]","A therapeutic epidural cortical stimulation source of any kind [30,31]",30;31;58
Intracortical microstimulation,Implanted penetrating intracortical microelectrode arrays [248],Charge injection directly into grey matter through one or more electrodes of an array [248],"Direct excitation of local neural elements, with axons before somata and current–distance relations setting the excited shell [34]; evoked percepts organised somatotopically by electrode [248]","Not a labelled line: at one electrode, amplitude and frequency decide whether the percept is cutaneous or proprioceptive, and some electrodes are multimodal [249]","Amplitude grades perceived intensity [248]; detection thresholds fell from a median 31.5 µA at day 100 to 10.4 µA at day 1500 [250]; mean single-electrode phosphene threshold 66.8 ± 36.5 µA in visual cortex, falling substantially under simultaneous multi-electrode stimulation [251]; microelectrodes tolerate higher charge densities than the macroelectrode rule predicts [18]","Single-electrode resolution, somatotopically ordered in somatosensory cortex [248] and one phosphene per electrode in visual cortex [251]; percepts stable over months [248], stimulation performance holding over 1,500 days [250]","Human: implanted participants with spinal cord injury [248,249,250] and a blind volunteer with a 96-channel occipital array for six months [251]; mammalian CNS review for the coupling account [34]","Revised charge-density damage thresholds for chronic human microstimulation [18,250]; single-participant designs throughout [248,249,250,251]",18;34;248;249;250;251
"TMS, single pulse and conventional rTMS",Non-invasive,Pulsed magnetic field inducing an electric field in tissue; dose is every device parameter that shapes that field [9],"Myelinated axon terminals of pyramidal cells and interneurons at the gyral crown, with spread through intracortical circuits and white matter (consensus, measured and modelled) [41]; modelling puts the lowest thresholds in intracortical axon terminals, with field magnitude mattering more than direction [57]",Substantial somatosensory and auditory co-stimulation accompanies every pulse and must be controlled for [41],"Coil geometry, waveform, pulse parameters, train and session timing [9]; percentage of motor threshold as the clinical norm [15]; modelled E-field reported in 308 different ways [14]","Simulated half-value depth 0.9–3.5 cm, with tangential spread 5 cm² for figure-8 and 34 cm² for circular coils, spherical head model [56]; current direction changes which interneuron circuits are recruited, read from epidural volleys [58]; the effective extent exceeds the induced field, since prefrontal rTMS reduced [<sup>11</sup>C]raclopride binding specifically in ipsilateral dorsal caudate in humans [143]","Human consensus plus measured epidural volleys [41,58]; computational thresholds [57]; expert safety guideline, seizure risk low at conventional parameters [42]",An agreed E-field outcome measure [14]; a validated route from modelled field to physiology [15],9;14;15;41;42;56;57;58;143
"TMS, theta burst and accelerated protocols",Non-invasive,Bursts of high-frequency pulses repeated at a theta rhythm [38],"As single-pulse TMS, at axon terminals [41]; after-effects read as LTP/LTD-like plasticity [38]","Which interneuron network a pulse recruits, indexed by anterior–posterior-current MEP latency, rather than plasticity capacity, explains responder status [59]","20–190 s of stimulation; continuous versus intermittent pattern sets the direction of the excitability change [38]; a co-administered drug changes the delivered effect, with adjunctive D-cycloserine 100 mg over four weeks of iTBS giving a 6.15-point greater MADRS reduction (Hedges g = 0.99) and response 73.9% versus 29.3% in 50 patients [190]; accelerated protocols not established in this corpus",After-effects outlasting stimulation and persisting beyond the ~30 min typical of earlier rTMS [38],"Human, healthy volunteers [38]; variability characterised in 56 adults [59]","Reproducibility and responder rates of the after-effects are disputed [38,59]; any accelerated-protocol source",38;41;59;190
tDCS,Non-invasive,Sustained low-intensity current applied at the scalp [43],"Compartment-specific membrane polarisation: about 0.12 mV per mV/mm at the soma along the somato-dendritic axis, largest at dendritic tips, with no clear threshold (rat hippocampal slice) [36]; morphology-dependent, layer V pyramidal cells most sensitive (rat, in vitro) [49]","Fields too weak for direct effects: about 75% of scalp current is shunted, the minimum field affecting spiking is about 1 V/m in rat intracellular recordings, and 4–6 mA was needed to modulate human EEG alpha [50]","Up to 4 mA and 60 min/day, from more than 300,000 pooled sessions with no serious adverse events [43]; 2 mA at the scalp produced about 0.8 V/m measured in cortex in 10 patients [40]; about 0.5 mV/mm peak measured in superficial cortex [211]","Polarisation time constants about 15–70 ms, with excitability changes outlasting the field by more than a second, rat slice [36]; field strength changed little with region or frequency in human and macaque recordings [211]; no focality figure in this corpus","Rat slice and in vitro [36,49]; human intracranial measurement [40,211]; pooled human safety data [43]","Whether 1–2 mA modulates neurons directly [36,50]; a consensus in-tissue metric [14]",14;36;40;43;49;50;211
tACS,Non-invasive,Sinusoidal current applied at the scalp [43],"Spike-timing entrainment without rate change, dose-dependent at human-feasible intensities in awake macaque [51,52]; network resonance amplifies weak fields, largest when stimulation matches the intrinsic rhythm (ferret slice plus simulation) [37,53]",Transcutaneous stimulation of peripheral nerves: anaesthetising the skin reduced tremor entrainment and peripheral stimulation alone reproduced the motor effects (rat and human) [54]; countered by entrainment persisting under topical anaesthesia in macaque [55],"Same envelope as tDCS, to 4 mA and 60 min/day [43]; frequency relative to the intrinsic rhythm [53]; endogenous fields for comparison were 2–4 mV/mm in ferret cortex [37]","Phase locking altered without firing-rate change, including in macaque hippocampus and basal ganglia [51]; entrainment competes with ongoing oscillations and can reduce locking in strongly locked neurons [44]","Awake macaque single units [44,51,52]; ferret slice and simulation [37,53]; rat and human [54,55]","Whether human effects at 1–2 mA are direct [50,54]; a state-dependent dose rule [44]",37;43;44;50;51;52;53;54;55
