id:ID(Entity),:LABEL,label,type,term,xref
17-item-hamilton-depression-score-in-severe-post-11hyotv,Entity;Outcome,17-item Hamilton depression score in severe postpartum depression,Outcome,,
21-item-hamilton-depression-score-in-treatment-r-1qw0vcx,Entity;Outcome,21-item Hamilton depression score in treatment-resistant depression,Outcome,,
25-item-hamilton-depression-score-within-72-h-1a6qq7a,Entity;Outcome,25-item Hamilton depression score within 72 h,Outcome,,
2r-6r-hydroxynorketamine-1ggftcl,Entity;Molecule,"(2R,6R)-hydroxynorketamine",Molecule,hydroxynorketamine,
2r-6r-hydroxynorketamine-antidepressant-like-beh-11sqomd,Entity;Outcome,"(2R,6R)-hydroxynorketamine antidepressant-like behaviour",Outcome,,
40-hz-audio-visual-sensory-entrainment-delivered-0dc0v1b,Entity;ExogenousDrive,40 Hz audio-visual sensory entrainment delivered at home,ExogenousDrive,forty-hz-stimulation,
40-hz-audiovisual-stimulation-1tjnxc3,Entity;StimulationProtocol,40 Hz audiovisual stimulation,StimulationProtocol,forty-hz-stimulation,
40-hz-light-flicker-1acxixc,Entity;StimulationProtocol,40 Hz light flicker,StimulationProtocol,forty-hz-stimulation,
5-ht2a-receptor-activation-0ksorpg,Entity;Molecule,5-HT2A receptor activation,Molecule,five-ht2a-receptor,
5-ht2a-receptors-0ucpze3,Entity;GeneProduct,5-HT2A receptors,GeneProduct,five-ht2a-receptor,
5-ht2a-receptors-on-layer-v-pyramidal-apical-den-0p5jao8,Entity;Molecule,5-HT2A receptors on layer V pyramidal apical dendrites,Molecule,five-ht2a-receptor,
50-mg-orally-once-daily-for-14-days-0wq6tpv,Entity;StimulationProtocol,50 mg orally once daily for 14 days,StimulationProtocol,route-of-administration,
670-nm-led-light-0dkdce9,Entity;ExogenousDrive,670 nm LED light,ExogenousDrive,photobiomodulation,
a-circuit-level-neuromodulator-necessity-claim-0611kjt,Entity;Outcome,A circuit-level neuromodulator necessity claim,Outcome,gating,
a-coupling-edge-able-to-carry-rival-mechanisms-r-12dr7lu,Entity;CouplingMechanism,A coupling edge able to carry rival mechanisms rather than a single one,CouplingMechanism,rival-edge,
a-coupling-representation-in-which-cytochrome-c-0felbq5,Entity;Outcome,"A coupling representation in which cytochrome c oxidase, Piezo1, astrocytic TRPA1, CFTR, the bilayer, the microbubble, the receptor and the installed actuator are entities rather than edge labels",Outcome,coupling,
a-demonstrated-coupling-event-at-the-human-corti-1olzrhn,Entity;CouplingMechanism,"A demonstrated coupling event at the human cortical target, which it does not establish",CouplingMechanism,coupling,
a-depth-focality-tradeoff-present-in-every-coil-0iyx3x2,Entity;Measurement,A depth-focality tradeoff present in every coil,Measurement,depth-focality-tradeoff,
a-dose-record-that-distinguishes-free-field-from-19pqulw,Entity;Outcome,"A dose record that distinguishes free-field from in situ acoustic values, device settings from modelled E-field, and administered amount from plasma and target-site exposure",Outcome,exposure,
a-dose-representation-adequate-to-any-drive-clas-09s2utb,Entity;Outcome,"A dose representation adequate to any drive class, none of which reduces to a single intensity",Outcome,reproducibility,
